title,category,integration_status,soroban,github_url,total_awarded_usd
Lantern Finance,Financial Protocols,Mainnet,True,https://github.com/lanternfi,48483.0
PipeOps,Infrastructure & Services,Testnet,False,https://github.com/PipeOpsHQ,48000.0
Stellar C SDK,Developer Tooling,Mainnet,True,https://github.com/overcat/libstellar,48000.0
PAYRIT,Applications,Mainnet,False,https://docs.google.com/document/d/1Rs5mjJZkl2kZMqpVuZRRnJnhdx0gajOSAff6wIBgtZ0/edit?usp=sharing,47792.0
EnerDAO,Infrastructure & Services,Mainnet,True,https://github.com/EnerDAO/MVP_SMART_CONTRACT.git,47700.0
Stellar Unity Developer Kit,Developer Tooling,Development,True,https://github.com/towa-hi/StellarUnityDevToolkit,47000.0
Switchly,Financial Protocols,Development,True,https://github.com/orgs/SwitchlyProtocol/repositories,46000.0
Pakana.Net,Applications,Development,True,https://github.com/lockb0x-llc,45200.0
PeerPesa,Applications,Mainnet,True,https://github.com/PeerPESA-dAPP/peerPesa-Web3,45000.0
Gladius,Applications,Development,True,https://github.com/gladiusclub,45000.0
The Give Hub,Applications,Development,True,https://github.com/thegivehub/,45000.0
KYC Token & UI for RWA,Infrastructure & Services,Development,True,https://github.com/tigerblocks/BBF,45000.0
Komunitin,Applications,Mainnet,False,https://github.com/community-exchange-network/komunitin/,44850.0
Tricorn,Financial Protocols,Development,True,https://github.com/BoostyLabs,44700.0
Soroban Security Portal,Developer Tooling,Mainnet,True,https://github.com/Inferara/soroban-security-portal,44190.0
Wagent,Applications,Mainnet,False,https://github.com/luanlabs,43400.0
Solang Playground,Developer Tooling,Development,True,https://github.com/hyperledger-solang/solang-playground,42000.0
BlindPay,Applications,Mainnet,False,https://github.com/blindpaylabs,40000.0
Outbounder,Applications,Mainnet,True,https://github.com/tryoutbounder/anchor-go,38000.0
DIA Oracles,Infrastructure & Services,Development,True,https://github.com/diadata-org/soroban-oracle-feeders ; https://github.com/diadata-org/soroban-oracles,38000.0
QuillTip: Publishing and Microtipping,Applications,Development,True,https://github.com/pragya-shar/QuillTip,37200.0
xlm.sh,Infrastructure & Services,Mainnet,True,https://github.com/lightsail-network,36000.0
BitGifty,Applications,Mainnet,True,https://github.com/damzylance/bigiftyxsoroban,35200.0
Clixpesa,Applications,Development,True,https://github.com/clixpesa,35050.0
Sytemap,Applications,Mainnet,True,https://github.com/houseafrica/steller-blockchain-integration/tree/main/stellar-blockchain/contracts/sytemap,35000.0
Stellar Command Insights (SCI),Developer Tooling,Mainnet,False,https://github.com/bytemaster333/Soroban-ELK,35000.0
Nobak,Applications,Mainnet,True,https://github.com/nobak-net,34500.0
NebulaVRF,Developer Tooling,Development,True,https://github.com/orgs/NebulaVRF/repositories,34000.0
Horizon-as-a-Service,Infrastructure & Services,Mainnet,True,https://github.com/withObsrvr/nomad-pack-web3-registry,32500.0
