repo_full_name,contributor_login,commits_90d,commit_share_pct
Inferara/soroban-security-catalogue,Bosun-Josh121,2,10.0
Inferara/soroban-security-catalogue,Gbangbolaoluwagbemiga,2,10.0
Inferara/soroban-security-catalogue,Macnelson9,1,5.0
Inferara/soroban-security-catalogue,Villarley,1,5.0
Inferara/soroban-security-catalogue,Rajkoli145,1,5.0
Inferara/soroban-security-catalogue,legend4tech,1,5.0
Inferara/soroban-security-catalogue,laryhills,1,5.0
Inferara/soroban-security-catalogue,pope-h,1,5.0
Inferara/soroban-security-catalogue,gelluisaac,1,5.0
Inferara/soroban-security-catalogue,0xGeorgii,9,45.0
pragya-shar/QuillTip,pragya-shar,34,100.0
rahul-soshte/rs-soroban-client,rahul-soshte,3,100.0
Soneso/stellar_wallet_flutter_sdk,christian-rogobete,2,66.67
Soneso/stellar_wallet_flutter_sdk,lux2983,1,33.33
calimero-network/core,chefsale,58,33.92
calimero-network/core,xilosada,34,19.88
calimero-network/core,rtb-12,25,14.62
calimero-network/core,frdomovic,19,11.11
calimero-network/core,cursor[bot],2,1.17
calimero-network/core,dependabot[bot],4,2.34
calimero-network/core,sept-en,10,5.85
calimero-network/core,sh3ll3x3c,10,5.85
calimero-network/core,fbozic,8,4.68
calimero-network/core,momoshell,1,0.58
chatch/stellarexplorer,chatch,22,95.65
chatch/stellarexplorer,chatch,1,4.35
57blocks/stellar-resource-usage-report,sunnybai01,2,33.33
57blocks/stellar-resource-usage-report,sunnybai01,2,33.33
57blocks/stellar-resource-usage-report,github-actions[bot],1,16.67
57blocks/stellar-resource-usage-report,leslie555,1,16.67
Glo-Foundation/glo-wallet,gglucass,10,62.5
Glo-Foundation/glo-wallet,Riglanto,6,37.5
Argo-Navis-Dev/capacitor-passkey-plugin,ngybnc,6,100.0
