from_repo,to_package,ecosystem,is_direct
soroban-cli-hcnet-test3,stellar-strkey,CARGO,True
rs-stellar-base,stellar-strkey,CARGO,True
soroban-cli-stellar-test,stellar-strkey,CARGO,True
stellar-token-utils,stellar-strkey,CARGO,True
stellar-data,stellar-strkey,CARGO,True
stellar-registry-build,stellar-strkey,CARGO,True
soroban-sdk,soroban-env-host,CARGO,True
soroban-ledger-snapshot,soroban-env-host,CARGO,True
soroban-simulation,soroban-env-host,CARGO,True
soroban-rpc,soroban-env-host,CARGO,True
loam-soroban-cli,soroban-env-host,CARGO,True
soroban-cli-hcnet-test2,soroban-env-host,CARGO,True
soroban-cli-hcnet-test3,soroban-env-host,CARGO,True
soroban-cli-stellar-test,soroban-env-host,CARGO,True
soroban-sdk-macros,soroban-env-common,CARGO,True
soroban-env-host,soroban-env-common,CARGO,True
soroban-ledger-snapshot,soroban-env-common,CARGO,True
soroban-env-guest,soroban-env-common,CARGO,True
